期数,星期,红球,篮球,和值,AC,分列差,并列差,公式差,取模直,非AC尾,012路
2024081,2,"[1, 6, 12, 17, 23, 25]",4,84,6,"[4, 7, 5]","[5, 5, 2]","[3, 3, 6, 3, 2, 2]","[0, 4, 0]","[0, 2, 3, 4, 5, 6, 7]","[1, 0, 0, 2, 2, 1]"
2024082,4,"[1, 2, 13, 16, 17, 29]",16,78,6,"[8, 5, 3]","[1, 3, 2]","[7, 8, 5, 3, 3, 1]","[0, 3, 2]","[0, 1, 2, 3, 5, 7, 8]","[1, 2, 1, 1, 2, 2]"
2024083,7,"[3, 9, 14, 29, 32, 33]",15,120,10,"[0, 3, 5]","[6, 5, 1]","[9, 2, 7, 3, 2, 2]","[0, 0, 0]","[0, 1, 2, 3, 5, 6, 7, 9]","[0, 0, 2, 2, 2, 0]"
2024084,2,"[1, 8, 10, 13, 19, 29]",13,80,9,"[8, 1, 3]","[7, 3, 0]","[9, 9, 7, 5, 3, 1]","[2, 0, 0]","[0, 1, 2, 3, 5, 7, 8, 9]","[1, 2, 1, 1, 1, 2]"
2024085,4,"[1, 5, 15, 21, 23, 27]",15,92,7,"[6, 8, 6]","[4, 6, 4]","[1, 7, 5, 3, 3, 2]","[2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 0, 0, 2, 0]"
2024086,7,"[17, 19, 20, 23, 25, 31]",2,135,5,"[4, 6, 3]","[2, 3, 6]","[6, 6, 5, 4, 4, 3]","[3, 0, 3]","[0, 2, 3, 4, 5, 6]","[2, 1, 2, 2, 1, 1]"
2024087,2,"[3, 9, 18, 19, 20, 26]",11,95,7,"[3, 1, 1]","[6, 1, 6]","[0, 9, 4, 4, 3, 2]","[5, 0, 3]","[0, 1, 2, 3, 4, 5, 6, 9]","[0, 0, 0, 1, 2, 2]"
2024088,4,"[3, 8, 10, 17, 30, 32]",10,100,7,"[9, 2, 7]","[5, 7, 2]","[2, 1, 9, 4, 2, 2]","[4, 0, 0]","[0, 1, 2, 4, 5, 7, 9]","[0, 2, 1, 2, 0, 2]"
2024089,7,"[3, 6, 9, 15, 18, 31]",1,82,5,"[8, 2, 6]","[3, 6, 3]","[6, 2, 8, 4, 3, 1]","[4, 2, 2]","[1, 2, 3, 4, 6, 8]","[0, 0, 0, 0, 0, 1]"
2024090,2,"[7, 11, 17, 24, 31, 32]",12,122,9,"[5, 0, 7]","[4, 7, 1]","[6, 0, 6, 4, 2, 2]","[2, 2, 2]","[0, 1, 2, 4, 5, 6, 7]","[1, 2, 2, 0, 1, 2]"
2024091,4,"[13, 15, 16, 19, 20, 24]",10,107,5,"[1, 5, 3]","[2, 3, 4]","[7, 6, 5, 4, 4, 3]","[5, 2, 3]","[1, 2, 3, 4, 5, 6, 7]","[1, 0, 1, 1, 2, 0]"
2024092,7,"[3, 8, 11, 12, 18, 29]",5,81,10,"[6, 0, 1]","[5, 1, 1]","[6, 9, 6, 5, 3, 1]","[3, 1, 1]","[0, 1, 3, 5, 6, 9]","[0, 2, 2, 0, 0, 2]"
2024093,2,"[1, 5, 7, 11, 12, 15]",12,51,6,"[4, 7, 4]","[4, 4, 3]","[0, 9, 6, 3, 3, 2]","[3, 1, 3]","[0, 1, 2, 3, 4, 6, 7, 9]","[1, 2, 1, 2, 0, 0]"
2024094,4,"[6, 13, 17, 22, 25, 27]",9,110,9,"[1, 2, 5]","[7, 5, 2]","[7, 7, 5, 4, 3, 3]","[2, 0, 2]","[0, 1, 2, 3, 4, 5, 7]","[0, 1, 2, 1, 1, 0]"
2024095,7,"[4, 6, 9, 14, 16, 21]",3,70,4,"[7, 0, 5]","[2, 5, 5]","[6, 0, 6, 4, 3, 2]","[4, 0, 2]","[0, 2, 3, 4, 5, 6, 7]","[1, 0, 0, 2, 1, 0]"
2024096,2,"[2, 4, 14, 18, 23, 27]",13,88,8,"[5, 9, 4]","[2, 4, 4]","[3, 1, 5, 3, 2, 2]","[4, 3, 0]","[0, 1, 2, 3, 4, 5, 9]","[2, 1, 2, 0, 2, 0]"
2024097,4,"[4, 10, 12, 13, 18, 30]",3,87,8,"[6, 8, 1]","[6, 1, 2]","[0, 7, 6, 5, 3, 1]","[3, 2, 3]","[0, 1, 2, 3, 5, 6, 7, 8]","[1, 1, 0, 1, 0, 0]"
2024098,7,"[3, 8, 10, 20, 30, 31]",2,102,9,"[8, 2, 0]","[5, 0, 1]","[3, 1, 9, 4, 2, 2]","[0, 2, 2]","[0, 1, 2, 3, 4, 5, 8, 9]","[0, 2, 1, 2, 0, 1]"
2024099,2,"[4, 12, 17, 24, 26, 27]",16,110,10,"[3, 4, 7]","[8, 7, 1]","[6, 8, 5, 3, 3, 3]","[2, 0, 2]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1, 0, 2, 0, 2, 0]"
2024100,4,"[13, 14, 19, 20, 27, 30]",5,123,7,"[7, 3, 1]","[1, 1, 3]","[8, 7, 5, 5, 3, 3]","[3, 3, 3]","[1, 3, 5, 7, 8]","[1, 2, 1, 2, 0, 0]"
2024101,7,"[8, 12, 15, 17, 19, 30]",8,101,6,"[2, 7, 2]","[4, 2, 1]","[1, 7, 5, 4, 4, 2]","[5, 1, 1]","[1, 2, 4, 5, 7]","[2, 0, 0, 2, 1, 0]"
2024102,2,"[9, 15, 18, 21, 22, 25]",1,110,5,"[6, 7, 3]","[6, 3, 3]","[1, 6, 5, 4, 4, 3]","[2, 0, 2]","[0, 1, 2, 3, 4, 5, 6, 7]","[0, 0, 0, 0, 1, 1]"
2024103,4,"[12, 21, 23, 27, 32, 33]",15,148,7,"[1, 1, 4]","[9, 4, 1]","[1, 6, 5, 4, 3, 3]","[4, 3, 0]","[0, 1, 3, 4, 5, 6, 9]","[0, 0, 2, 0, 2, 0]"
2024104,7,"[5, 16, 23, 24, 26, 29]",4,123,9,"[4, 0, 1]","[1, 1, 3]","[3, 6, 4, 4, 3, 3]","[3, 3, 3]","[0, 1, 3, 4, 6]","[2, 1, 2, 0, 2, 2]"
2024105,2,"[2, 5, 17, 19, 29, 33]",4,105,8,"[1, 4, 2]","[3, 2, 4]","[1, 0, 5, 4, 2, 2]","[3, 0, 1]","[0, 1, 2, 3, 4, 5]","[2, 2, 2, 1, 2, 0]"
2024106,4,"[3, 8, 11, 22, 31, 33]",4,108,9,"[0, 3, 1]","[5, 1, 2]","[5, 2, 8, 3, 2, 2]","[0, 3, 0]","[0, 1, 2, 3, 5, 8]","[0, 2, 2, 1, 1, 0]"
2024107,7,"[1, 6, 8, 13, 17, 19]",9,64,6,"[8, 1, 5]","[5, 5, 2]","[3, 9, 7, 3, 2, 2]","[4, 4, 0]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[1, 0, 2, 1, 2, 1]"
