期数,星期,红球,篮球,和值,AC,分列差,并列差,公式差,取模直,非AC尾,012路
2025136,2,"[8, 10, 14, 23, 28, 32]",12,115,7,"[4, 8, 9]","[2, 9, 4]","[3, 0, 7, 4, 3, 2]","[1, 0, 3]","[0, 1, 2, 3, 4, 7, 8, 9]","[2, 1, 2, 2, 1, 2]"
2025137,4,"[2, 8, 11, 23, 27, 29]",5,100,8,"[7, 9, 2]","[6, 2, 2]","[9, 1, 8, 3, 2, 2]","[4, 0, 0]","[0, 1, 2, 3, 4, 6, 7, 8, 9]","[2, 2, 2, 2, 0, 2]"
2025138,7,"[10, 13, 14, 23, 24, 27]",15,111,4,"[7, 1, 9]","[3, 9, 3]","[0, 7, 6, 3, 3, 3]","[3, 1, 3]","[0, 1, 3, 6, 7, 9]","[1, 1, 2, 2, 0, 0]"
2025139,2,"[2, 5, 17, 22, 30, 33]",6,109,8,"[1, 5, 5]","[3, 5, 3]","[3, 0, 5, 3, 2, 2]","[1, 4, 1]","[0, 1, 2, 3, 4, 5]","[2, 2, 2, 1, 0, 0]"
2025140,4,"[1, 3, 4, 12, 18, 24]",5,62,9,"[3, 5, 8]","[2, 8, 6]","[1, 9, 4, 4, 2, 1]","[2, 2, 2]","[1, 2, 3, 4, 5, 6, 8, 9]","[1, 0, 1, 0, 0, 0]"
2025141,7,"[2, 4, 5, 10, 12, 13]",6,46,5,"[1, 8, 5]","[2, 5, 1]","[2, 0, 8, 3, 2, 2]","[4, 1, 2]","[0, 1, 2, 3, 4, 5, 8]","[2, 1, 2, 1, 0, 1]"
2025142,2,"[2, 13, 15, 23, 27, 31]",16,111,8,"[9, 4, 8]","[1, 8, 4]","[4, 7, 6, 3, 3, 2]","[3, 1, 3]","[1, 2, 3, 4, 6, 7, 8, 9]","[2, 1, 0, 2, 0, 1]"
2025143,4,"[2, 9, 12, 13, 15, 24]",3,75,8,"[2, 6, 1]","[7, 1, 9]","[6, 7, 5, 4, 4, 2]","[3, 0, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 9]","[2, 0, 0, 1, 0, 0]"
2025144,7,"[1, 8, 15, 20, 26, 33]",13,103,6,"[2, 8, 5]","[7, 5, 7]","[2, 1, 5, 4, 2, 2]","[1, 3, 3]","[1, 2, 3, 4, 5, 7, 8]","[1, 2, 0, 2, 2, 0]"
2025145,2,"[11, 12, 15, 18, 25, 32]",14,113,6,"[1, 3, 3]","[1, 3, 7]","[9, 8, 6, 5, 3, 2]","[5, 3, 1]","[1, 2, 3, 5, 6, 7, 8, 9]","[2, 0, 0, 0, 1, 2]"
2025146,4,"[5, 7, 12, 24, 26, 28]",2,102,6,"[3, 9, 2]","[2, 2, 2]","[9, 3, 7, 3, 2, 2]","[0, 2, 2]","[0, 2, 3, 7, 9]","[2, 1, 0, 0, 2, 1]"
2025147,7,"[1, 3, 5, 8, 22, 33]",8,72,9,"[2, 9, 3]","[2, 3, 1]","[1, 3, 3, 8, 2, 1]","[0, 2, 0]","[0, 1, 2, 3, 8, 9]","[1, 0, 2, 2, 1, 0]"
2025148,2,"[3, 4, 9, 10, 15, 22]",16,63,4,"[9, 1, 1]","[1, 1, 7]","[0, 4, 6, 5, 3, 1]","[3, 3, 3]","[0, 1, 3, 4, 5, 6, 7, 9]","[0, 1, 0, 1, 0, 1]"
